.imp,age,race_ethn,year,var,pop,m,q,p,lx,d,L,t,e,c,s,se
2,13,White,2013,33193,2347984,0.014136808427996103,0.014037585102304616,0.9859624148976954,74799.82688283088,1050.0089355053933,74274.82241507818,361094.4574489932,4.827477181392739,0.2520017311716912,0.7479982688283088,3.0490692871522546e-4
2,14,White,2013,32603,2334314,0.013966844220614708,0.013869984265823143,0.9861300157341768,73749.81794732549,1022.9088145367277,73238.36354005712,286819.63503391505,3.889089397329373,0.2625018205267451,0.7374981794732549,3.006267717551032e-4
2,15,White,2013,31213,2339696,0.013340622029528622,0.013252225563383046,0.986747774436617,72726.90913278876,963.7934043553832,72245.01243061107,213581.27149385796,2.9367571651352544,0.27273090867211247,0.7272690913278875,2.9645708316097466e-4
2,16,White,2013,27897,2355245,0.011844627628972782,0.011774893017391784,0.9882251069826082,71763.11572843337,1459.9815957466635,71033.12493056004,141336.2590632468,1.9694833150513245,0.2823688427156662,0.7176311572843338,2.9252836702506286e-4
2,17,White,2013,20766,2384311,0.00870943429779085,0.008671671620674708,0.9913283283793253,70303.13413268671,-0,70303.13413268671,70303.13413268671,1,0.29696865867313293,0.7030313413268671,2.8657703634835975e-4
2,0,AI/AN,2014,6210,76985,0.0806650646229785,0.07753777000874017,0.9224622299912598,100000,7753.777000874019,96123.11149956299,1376950.4681538888,13.769504681538889,0,1,0
2,1,AI/AN,2014,2860,76355,0.03745661711741209,0.036768014398662986,0.963231985601337,92246.22299912598,3391.7104554541293,90550.36777139892,1280827.356654326,13.88487587905319,0.07753777000874018,0.9224622299912598,0.002199356992756282
2,2,AI/AN,2014,2551,77443,0.032940356132897745,0.032406613439026406,0.9675933865609736,88854.51254367185,2879.4738403159135,87414.7756235139,1190276.9888829268,13.395796733428789,0.11145487456328151,0.8885451254367185,0.0021184910031788193
2,3,AI/AN,2014,2150,75718,0.028394833461000028,0.027997343507871808,0.9720026564921282,85975.03870335594,2407.0726916804124,84771.50235751574,1102862.213259413,12.827702434245765,0.14024961296644067,0.8597503870335593,0.0020498378841647476
2,4,AI/AN,2014,2012,77268,0.026039240047626443,0.025704576232209928,0.9742954237677901,83567.96601167553,2148.0791529178387,82493.9264352166,1018090.7109018972,12.18278677214253,0.1643203398832448,0.8356796601167552,0.001992447868786338
